artist,title,id
"ABBA","Waterloo [Z Karaoke]",""
"Abba","What About Livingstone [Karaoke]",""
"Abba","When All Is Said And Done [Karaoke]",""
"Abba","When I Kissed Teacher [Karaoke]",""
"Abba","Why Did It Have To Be Me [Karaoke]",""
"Abba","Winner Takes It All [Karaoke]",""
"Abba","Winner Takes It All [Karaoke]",""
"ABC","Look Of Love [karaoke]",""
"ABC","Look Of Love [karaoke]",""
"ABC","Poison Arrow [karaoke]",""
"ABC","Poison Arrow [karaoke]",""
"ABC","When Smokey Sings [Karaoke]",""
"Abra Moore","Four Leaf Clover [Karaoke]",""
"Abra Moore","Four Leaf Clover [Karaoke]",""
"Abs","Stop Sign [Karaoke]",""
"Accept","Balls To The Wall [karaoke]",""
"Accept","Balls To The Wall [Karaoke]",""
"Acdc","Back In Black",""
"ACDC","Back In Black [Karaoke]",""
"ACDC","Back In Black [Karaoke]",""
"ACDC","Big Balls [Karaoke]",""
"ACDC","Big Balls [Karaoke]",""
"ACDC","Big Gun [Karaoke]",""
"ACDC","Dirty Deeds Done Dirt Cheap [karaoke]",""
"ACDC","Dirty Deeds Done Dirt Cheap [karaoke]",""
"ACDC","For Those About To Rock We Salute You [karaoke]",""
"ACDC","For Those About To Rock We Salute You [karaoke]",""
"ACDC","Girls Got Rhythm [karaoke]",""
"ACDC","Girls Got Rhythm [karaoke]",""
"ACDC","Hard As A Rock [Karaoke]",""
"ACDC","Hard As A Rock [Karaoke]",""
"Acdc","Have A Drink On Me",""
"ACDC","Heatseeker [Karaoke]",""
"ACDC","Hells bells [Karaoke]",""
"ACDC","Hells bells [Karaoke]",""
"ACDC","Highway To Hell [karaoke]",""
"ACDC","Highway To Hell [karaoke]",""
"ACDC","It's A Long Way To The Top [Karaoke]",""
"ACDC","It's A Long Way To The Top [Karaoke]",""
"ACDC","Let There Be Rock [Karaoke]",""
"ACDC","Problem Child [Karaoke]",""
"ACDC","Problem Child [Karaoke]",""
"ACDC","Ride On [Karaoke]",""
"ACDC","Ride On [Karaoke]",""
"ACDC","Rock 'n Roll Ain't Noise Pollution [Karaoke]",""
"ACDC","Rocker [Karaoke]",""
"ACDC","Safe In New York City [Karaoke]",""
"ACDC","Safe In New York City [Karaoke]",""
"ACDC","Sin  City [karaoke]",""
"ACDC","Sink The Pink [Karaoke]",""
"ACDC","Sink The Pink [Karaoke]",""
"Acdc","Stiff Upper Lip",""
"ACDC","Stiff Upper Lip [Karaoke]",""
"ACDC","Stiff Upper Lip [Karaoke]",""
"ACDC","Thunderstruck [Karaoke]",""
"ACDC","Thunderstruck [Karaoke]",""
"ACDC","TNT [Karaoke]",""
"ACDC","TNT [Karaoke]",""
"ACDC","Who Made Who [karaoke]",""
"Acdc","Whole Lotta Rosie",""
"ACDC","Whole Lotta Rosie [karaoke]",""
"ACDC","Whole Lotta Rosie [karaoke]",""
"Acdc","You Shook Me All Night Long - Sc 7548-01",""
"ACDC","You Shook Me All Night Long [Karaoke]",""
"ACDC","You Shook Me All Night Long [Karaoke]",""
"Ace","How Long [Karaoke]",""
"Ace","How Long [Karaoke]",""
"Ace Hood & Trey Songz","Ride [Karaoke]",""
"Ace Hood & Trey Songz","Ride [Karaoke]",""
"Ace Of Base","All That She Wants [Karaoke]",""
"Ace Of Base","All That She Wants [Karaoke]",""
"Ace Of Base","Beautiful Life [karaoke]",""
"Ace Of Base","Beautiful Life [karaoke]",""
"Ace Of Base","Cruel Summer [Karaoke]",""
"Ace Of Base","Cruel Summer [Karaoke]",""
"Ace Of Base","Dont Turn Around [Karaoke]",""
"Ace Of Base","Dont Turn Around [Karaoke]",""
